"Contrast";"Contrast"
"Default Mode";"Default Mode"
"Dark Mode";"Dark Mode"
"Font";"Font"
"Small Font";"Small Font"
"Default Font";"Default Font"
"Large Font";"Large Font"
"Font";"Font"
